     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
    186835,       503,         0, 66081.3,bposd_owd_176_X,2578946cfeb5216e4e92969e4c418702a3bfcefe8465b481c529be54aeb75cc6,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.001,""pauli"":""X"",""rounds"":16,""window"":3}",
     16785,       522,         0,  7891.4,bposd_owd_176_X,2ad99840143c3d04f7cd93952f358f2cbf02587e58ace514be16c73d9b61a849,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.0015,""pauli"":""X"",""rounds"":16,""window"":3}",
      3535,       541,         0,  4293.8,bposd_owd_176_X,c9ed3e209e7fc16d253c6d21de0e4d470ab7ef26a6a9055d786bf9ce24ed45ae,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.002,""pauli"":""X"",""rounds"":16,""window"":3}",
       668,       536,         0,  6017.7,bposd_owd_176_X,47b4fdbed6893a04e0195a57c170026f7fe17f40c5150b9524ce039341244e45,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.003,""pauli"":""X"",""rounds"":16,""window"":3}",
       505,       503,         0, 11773.8,bposd_owd_176_X,cd342eebe6821ab06d78695c982bc771b8b1e664eda7b54b3885c008a0672ea0,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.004,""pauli"":""X"",""rounds"":16,""window"":3}",
    996094,        76,         0,632548.1,bposd_owd_176_X,a4908c14b122fb27a74d8abe87bbad1784e6a44efbfca5f75e7cabe4a87d3d49,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":30,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.001,""pauli"":""X"",""rounds"":16,""window"":3}",
    288605,       504,         0,212013.1,bposd_owd_176_X,993e4267471a12cb69b7ab6c5ac921d704de4788724a34f4b121f7ab74c60646,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":30,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.0015,""pauli"":""X"",""rounds"":16,""window"":3}",
     24870,       511,         0, 19506.0,bposd_owd_176_X,c359608697a17f10761259cbddbdb948c16a1ceab927e9585509443696668af8,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":30,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.002,""pauli"":""X"",""rounds"":16,""window"":3}",
      1860,       618,         0,  5262.1,bposd_owd_176_X,edbea92490754d011eb8b0eee6a958cdc803447b822c4b3acafd950b62a233c7,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":30,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.003,""pauli"":""X"",""rounds"":16,""window"":3}",
       556,       520,         0,  8553.0,bposd_owd_176_X,f165dc41f74401a95e0165bf46697afa1ab71136c20c74c723191e2b03a2fdd6,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":30,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.004,""pauli"":""X"",""rounds"":16,""window"":3}",
    996070,        24,         0,730100.3,bposd_owd_176_X,6d29c601e141e1fa24c7c9b660c15b7ac499d3a6ee687cfd819db5a16d1408da,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":50,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.001,""pauli"":""X"",""rounds"":16,""window"":3}",
    915747,       500,         0,656495.0,bposd_owd_176_X,20f6006d049ee6ff0576df9d10adc9b58d7a3aaafd7bbd4077e331902387bb35,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":50,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.0015,""pauli"":""X"",""rounds"":16,""window"":3}",
     76752,       506,         0, 81087.7,bposd_owd_176_X,11f5cb503e69816ab7040a4420927665602820b9a520006c035aa026b3bb7d17,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":50,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.002,""pauli"":""X"",""rounds"":16,""window"":3}",
      2894,       562,         0,  5479.4,bposd_owd_176_X,20f924f6314df54fff6f65204214380fb2b14cd9a7a35ede12e931b9fb8247b9,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":50,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.003,""pauli"":""X"",""rounds"":16,""window"":3}",
       702,       560,         0,  8395.0,bposd_owd_176_X,c60f5185123bdcef996892ba1a6e7a6bad225e2c97428feebd394b87f8d0a079,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":50,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.004,""pauli"":""X"",""rounds"":16,""window"":3}",
    763499,         5,         0,740499.2,bposd_owd_176_X,c5b9da4b1817ef952efec25072ead2d77572df8840498e2ec585e1f7b66bdaac,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":100,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.001,""pauli"":""X"",""rounds"":16,""window"":3}",
    713036,       144,         0,727020.2,bposd_owd_176_X,01caa2b1edd39287eb1361cfa04de1ba5417f51cb36f1301fd2a4cb68f7680c6,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":100,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.0015,""pauli"":""X"",""rounds"":16,""window"":3}",
    239438,       503,         0,331739.3,bposd_owd_176_X,274d9d505af05442fff519055e2da04cc24cdda6fe454e5fa53a3a79b50b99db,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":100,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.002,""pauli"":""X"",""rounds"":16,""window"":3}",
      6148,       530,         0, 13003.0,bposd_owd_176_X,a579eb2a1d63a56d77d1849d4a827966886a9cc02df531f791242b597b009d87,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":100,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.003,""pauli"":""X"",""rounds"":16,""window"":3}",
       844,       541,         0,  7628.8,bposd_owd_176_X,846f5325e0059433f92ccd7d85f3be86708be4f79fe16bcf95b3960ba53e7569,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":100,""osd_method"":""osd_cs"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.004,""pauli"":""X"",""rounds"":16,""window"":3}",
    192417,         0,         0,873492.1,bposd_owd_176_X,67610823f297c30a79706b17e435ff6a133acb9845d9ac2ceb506e7de7719ed0,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.0003,""pauli"":""X"",""rounds"":16,""window"":3}",
    166836,         0,         0,863777.7,bposd_owd_176_X,dd36c8124fd57ec7dafdb49669c2792839a4372b9718b1e509806b8c8c6213ae,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.0004,""pauli"":""X"",""rounds"":16,""window"":3}",
    341666,         3,         0,1552279.3,bposd_owd_176_X,deec8d1f512945f079eeca1c11de8918415f8b04bf159ff7504dd71b66b7a25f,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.001,""pauli"":""X"",""rounds"":16,""window"":3}",
    438005,        26,         0,1558831.3,bposd_owd_176_X,4d402edca7737a6ebecce5f6232763eda5de3e6b8bacc830fef845b9460a98e0,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.0015,""pauli"":""X"",""rounds"":16,""window"":3}",
    451224,       181,         0,1530829.0,bposd_owd_176_X,98c173d7d41e32e735319efeec976580c305a19eb18508f6332734621eb6c132,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.002,""pauli"":""X"",""rounds"":16,""window"":3}",
     22797,       510,         0,185676.8,bposd_owd_176_X,da27f22074e23b75acbf4eeae91c12fde5ed3e3a8a9221eea7d7eb7168989d39,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.003,""pauli"":""X"",""rounds"":16,""window"":3}",
      1565,       518,         0, 26875.9,bposd_owd_176_X,ebec82e080076072aedb246341ad772a8294154f33ef0c012003798fc2913628,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":1000,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.004,""pauli"":""X"",""rounds"":16,""window"":3}",
     19094,         0,         0,787341.3,bposd_owd_176_X,413439180ec1e86d45439801e585aa5a82571c4ceef91ceaa7ce146e8dd7db60,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10000,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.0003,""pauli"":""X"",""rounds"":16,""window"":3}",
     13487,         0,         0,593962.5,bposd_owd_176_X,524f8ea4da680ce59a7b5d985ca668d13a7ae0801e321b50c49c002381fde257,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10000,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.0004,""pauli"":""X"",""rounds"":16,""window"":3}",
     36062,         1,         0,1338021.8,bposd_owd_176_X,634b315c0fcebc88807ec6a7d441140ef0b71460798a9a34b1657634302a113f,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10000,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.001,""pauli"":""X"",""rounds"":16,""window"":3}",
     56797,         3,         0,1361705.3,bposd_owd_176_X,3b72e2b5170e1d67543d2ac3bfb402b9563e8eedc5d0e13a8206fd4c542df2cb,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10000,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.0015,""pauli"":""X"",""rounds"":16,""window"":3}",
     70918,        15,         0,1446303.4,bposd_owd_176_X,d02ae4f75eed82ff08b6eb9e7140f689e38bbb7c7b2f3a5a94a255031915349d,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10000,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.002,""pauli"":""X"",""rounds"":16,""window"":3}",
     16685,       202,         0,591469.2,bposd_owd_176_X,ff44e8798178acd0b566cd48feaac56a6650608a25b05f76d7700be0e1b8d765,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10000,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.003,""pauli"":""X"",""rounds"":16,""window"":3}",
      2301,       511,         0,247498.5,bposd_owd_176_X,a6343c2a69b579e2c6588051b2f49540c90f5bd8695c1e4765f7edf1ac372960,"{""code_name"":""352_18_20"",""commit"":1,""decoder"":""bposd"",""decoder_args"":{""commit"":1,""decoder_config"":{""bp_method"":""ms"",""max_iter"":10000,""osd_method"":""osd_0"",""schedule"":""parallel""},""decodings"":15,""num_checks"":176,""window"":3},""decodings"":15,""distance"":20,""p"":0.004,""pauli"":""X"",""rounds"":16,""window"":3}",
